codigo;descripcion;precio;unidades;um
3525528;EXCITE MIX DISPLAY 2026;94.00;1;Unidad
3525556;URNA COBURN 400 TTE;76.00;1;Unidad
3525557;URNA FARIAS MINI 200 TTE;58.00;1;Unidad
3525567;FLEUR DU PAYS (30GR);8.50;10;Bolsa
3525626;Luckies 40A;93.50;1;Unidad
3525627;Luckies 23B;103.50;1;Unidad
3528;VEGAFINA CLASSIC PERLA (25);73.75;1;Caja
35405;C.MED.ORDINARIO SORIA  3,63;3.63;1;Unidad
35406;C.MED.DEFUNCION SORIA  3,63;3.63;1;Unidad
35436;CONT.ARR.LOCALES BURGOS1000/6;6.01;1;Unidad
35477;TARJETA TV. GALICIA       0,20;0.20;1;Unidad
3572;CELLINI CLÁSICO (50 G);5.30;5;Bolsa
3573;CELLINI FORTE (50 G);5.30;5;Bolsa
3657;VEGAFINA CORONAS TUBO (10);50.50;1;Caja
37514;CERTIFICADO DEUDAS 835 / 5 EUR;5.00;1;Unidad
37519;P.TIMB.PAGO ESTADO  1 20,00;20.00;1;Unidad
37520;P.TIMB.PAGO ESTADO  2 10,00;10.00;1;Unidad
37521;P.TIMB.PAGO ESTADO  3  5,00;5.00;1;Unidad
37522;P.TIMB.PAGO ESTADO  4  2,00;2.00;1;Unidad
37523;P.TIMB.PAGO ESTADO  5  1,00;1.00;1;Unidad
37524;P.TIMB.PAGO ESTADO  6  0,50;0.50;1;Unidad
37525;P.TIMB.PAGO ESTADO  7  0,20;0.20;1;Unidad
37526;P.TIMB.PAGO ESTADO  8  0,10;0.10;1;Unidad
37527;P.TIMB.PAGO ESTADO  9  0,05;0.05;1;Unidad
37528;P.TIMB.PAGO ESTADO  10 0,02;0.02;1;Unidad
37529;P.TIMB.PAGO ESTADO  11 0,01;0.01;1;Unidad
37530;TIMBRE  MOVIL  DE   20,00;20.00;1;Unidad
37531;TIMBRE  MOVIL  DE   10,00;10.00;1;Unidad
37532;TIMBRE  MOVIL   DE  5,00;5.00;10;Unidad
37533;TIMBRE  MOVIL   DE  2,00;2.00;10;Unidad
37534;TIMBRE  MOVIL   DE  1,00;1.00;10;Unidad
37535;TIMBRE  MOVIL   DE  0,50;0.50;100;Unidad
37536;TIMBRE  MOVIL   DE  0,20;0.20;100;Unidad
37537;TIMBRE  MOVIL   DE  0,10;0.10;100;Unidad
37538;TIMBRE  MOVIL  DE   0,05;0.05;100;Unidad
37539;TIMBRE  MOVIL  DE   0,02;0.02;100;Unidad
37540;TIMBRE  MOVIL  DE   0,01;0.01;100;Unidad
37546;LETRA  CAMBIO  1    538,51;538.51;1;Unidad
37547;LETRA  CAMBIO   2   269,25;269.25;1;Unidad
37548;LETRA  CAMBIO   3   134,63;134.63;1;Unidad
